week_start,date,area_sq_km,percent_of_ukraine
2022-01-31,2022-02-06,23762.56734946133,3.937133186887802
2022-02-07,2022-02-13,23899.066518080657,3.959749236696323
2022-02-14,2022-02-20,22139.707880579626,3.668247515629132
2022-02-21,2022-02-27,79995.19290902179,13.254111988902626
2022-02-28,2022-03-06,,
2022-03-07,2022-03-13,92996.18189439843,15.408198474757423
2022-03-14,2022-03-20,92937.24189411598,15.398432920903982
2022-03-21,2022-03-27,83676.27955388508,13.864017820211263
2022-03-28,2022-04-03,86561.92561797267,14.342130000492531
2022-04-04,2022-04-10,109915.10028763313,18.21143240620216
2022-04-11,2022-04-17,159357.88140423206,26.40342662649856
2022-04-18,2022-04-24,109665.09173551679,18.17000940030102
2022-04-25,2022-05-01,114438.07537280214,18.960827665115094
2022-05-02,2022-05-08,95746.82587354041,15.863942651568289
2022-05-09,2022-05-15,144787.26799297318,23.98927478965673
2022-05-16,2022-05-22,121649.3695048239,20.155640709936858
2022-05-23,2022-05-29,112939.87370933259,18.71259609134829
2022-05-30,2022-06-05,123970.07485040967,20.540149921366858
2022-06-06,2022-06-12,119126.22378450078,19.73758989056429
2022-06-13,2022-06-19,119324.95307097107,19.7705166218161
2022-06-20,2022-06-26,117684.91593028227,19.498784844715807
2022-06-27,2022-07-03,111841.88694109654,18.53067466508103
2022-07-04,2022-07-10,106481.30762591834,17.642499813755006
2022-07-11,2022-07-17,111338.0453182798,18.447194982732135
2022-07-18,2022-07-24,105841.86523754879,17.53655293472766
2022-07-25,2022-07-31,107422.12379707165,17.798380216563938
2022-08-01,2022-08-07,118937.97739571556,19.7064000324274
2022-08-08,2022-08-14,107684.92693104215,17.84192311010557
2022-08-15,2022-08-21,110023.9518634683,18.229467627117604
2022-08-22,2022-08-28,111538.06886604319,18.480336155420957
2022-08-29,2022-09-04,121898.64889110051,20.196942903007294
2022-09-05,2022-09-11,84142.33164300192,13.941236292436734
2022-09-12,2022-09-18,110864.87592622598,18.368797270520417
2022-09-19,2022-09-25,112178.87208660749,18.58650850577541
2022-09-26,2022-10-02,114656.95421931698,18.997092903540217
2022-10-03,2022-10-09,103160.67579876565,17.092316427597652
2022-10-10,2022-10-16,98376.77983428212,16.299690139057596
2022-10-17,2022-10-23,121401.29147795224,20.11453756572815
2022-10-24,2022-10-30,116623.44055541775,19.32291285815885
2022-10-31,2022-11-06,103160.72635063952,17.092324803353414
2022-11-07,2022-11-13,107611.73802298632,17.829796706650043
2022-11-14,2022-11-20,112980.77035958912,18.7193721082908
2022-11-21,2022-11-27,115656.72820991215,19.162741812594174
2022-11-28,2022-12-04,121191.43962196937,20.079767976467462
2022-12-05,2022-12-11,122883.66774710144,20.360147087582046
2022-12-12,2022-12-18,113148.56049986594,18.747172645160457
2022-12-19,2022-12-25,112266.08267866305,18.60095811095403
2022-12-26,2023-01-01,105389.28289543859,17.461566215796303
2023-01-02,2023-01-08,108633.20508854015,17.999039862238448
2023-01-09,2023-01-15,101587.6740928448,16.83169150738875
2023-01-16,2023-01-22,92237.01952598605,15.282415628528877
2023-01-23,2023-01-29,100002.01622651485,16.568969634084144
2023-01-30,2023-02-05,,
2023-02-06,2023-02-12,96572.4476107371,16.00073690841473
2023-02-13,2023-02-19,105332.842234149,17.45221476831232
2023-02-20,2023-02-26,114381.67814825509,18.951483414506683
2023-02-27,2023-03-05,97107.94020134973,16.089460724273007
2023-03-06,2023-03-12,104029.84543312881,17.23632597682525
2023-03-13,2023-03-19,112958.51842576795,18.715685266468054
2023-03-20,2023-03-26,118282.41188094825,19.597781771344255
2023-03-27,2023-04-02,111687.39113228985,18.505076817544502
2023-04-03,2023-04-09,101014.55214020456,16.736733019667728
2023-04-10,2023-04-16,106188.6275255771,17.594006714535183
2023-04-17,2023-04-23,115620.46801233834,19.156733992600174
2023-04-24,2023-04-30,126267.93302501354,20.92087366829816
2023-05-01,2023-05-07,113825.69904696495,18.859365263352654
2023-05-08,2023-05-14,131614.59372411773,21.806742394850094
2023-05-15,2023-05-21,133768.91612582133,22.163684222652858
2023-05-22,2023-05-28,112609.40456707799,18.657841863487366
2023-05-29,2023-06-04,121913.45149837184,20.19939549306136
2023-06-05,2023-06-11,121962.32132856992,20.207492557131957
2023-06-12,2023-06-18,118459.21614360383,19.627075825300942
2023-06-19,2023-06-25,123446.56678573943,20.45341177793711
2023-06-26,2023-07-02,111278.23081020462,18.437284534869463
2023-07-03,2023-07-09,122388.28621155288,20.278069126261766
2023-07-10,2023-07-16,115861.48461333988,19.196667154890214
2023-07-17,2023-07-23,135096.6638840566,22.383673910041686
2023-07-24,2023-07-30,115430.66575441914,19.12528634817648
2023-07-31,2023-08-06,126302.63446514381,20.92662322345188
2023-08-07,2023-08-13,
2023-08-14,2023-08-20,132236.48002023323,21.90978046893103
2023-08-21,2023-08-27,124625.90631841632,20.64881224727302
2023-08-28,2023-09-03,126499.1709791084,20.959186642218274
2023-09-04,2023-09-10,140782.33356754834,23.325711799776048
2023-09-11,2023-09-17,136515.29702082038,22.618722064587917
2023-09-18,2023-09-24,125950.36341736223,20.86825671731625
2023-09-25,2023-10-01,157157.12580779957,26.038791451876325
2023-10-02,2023-10-08,,
2023-10-09,2023-10-15,138364.89889892953,22.92517585932061
2023-10-16,2023-10-22,167515.38317289038,27.755013366397215
2023-10-23,2023-10-29,156234.98839478975,25.886005864433727
2023-10-30,2023-11-05,157641.2697291827,26.119007493858454
2023-11-06,2023-11-12,133174.9759944758,22.065276446769246
2023-11-13,2023-11-19,134267.04929893656,22.246218092773848
2023-11-20,2023-11-26,140916.03869297775,23.347864914750684
2023-11-27,2023-12-03,130616.77120298026,21.641416817658897
2023-12-04,2023-12-10,125718.43140808007,20.829828747921475
2023-12-11,2023-12-17,119492.97416495493,19.79835542456382
2023-12-18,2023-12-24,110481.18086524216,18.30522423415494
2023-12-25,2023-12-31,116826.39625465636,19.35653984834005
2024-01-01,2024-01-07,119173.04568873126,19.74534764124451
2024-01-08,2024-01-14,126595.650718054,20.97517201856582
2024-01-15,2024-01-21,125835.1763501101,20.84917179191618
2024-01-22,2024-01-28,130141.11669944106,21.562607356381587
2024-01-29,2024-02-04,128855.55634477829,21.349607546148338
2024-02-05,2024-02-11,121798.80861481949,20.180400731475352
2024-02-12,2024-02-18,141003.77549286405,23.362401705387136
2024-02-19,2024-02-25,135008.574254905,22.36907866041007
2024-02-26,2024-03-03,135106.95210855783,22.385378528466212
2024-03-04,2024-03-10,136158.10085605987,22.559539533768515
2024-03-11,2024-03-17,143986.33361344735,23.85657089113534
2024-03-18,2024-03-24,144486.76018149665,23.9394847455052
2024-03-25,2024-03-31,139303.63795352558,23.080712112256744
2024-04-01,2024-04-07,143520.2306883529,23.779343996081998
2024-04-08,2024-04-14,141596.83297541825,23.460663238409122
2024-04-15,2024-04-21,144316.40530338956,23.911259266571047
2024-04-22,2024-04-28,116078.22510339764,19.232578096826714
2024-04-29,2024-05-05,135002.35555696682,22.36804830701132
2024-05-06,2024-05-12,144636.97649414124,23.964373538918274
2024-05-13,2024-05-19,128901.71512176492,21.35725542569214
2024-05-20,2024-05-26,136653.72133662406,22.641657085017656
2024-05-27,2024-06-02,131106.64448270955,21.722582136146062
2024-06-03,2024-06-09,128091.87643627274,21.223076205164897
2024-06-10,2024-06-16,130556.96484054858,21.631507719418206
2024-06-17,2024-06-23,118317.18460978709,19.6035431380643
2024-06-24,2024-06-30,116677.03847744149,19.33179330253359
2024-07-01,2024-07-07,121190.77596244316,20.07965801713912
2024-07-08,2024-07-14,126991.1525303649,21.04070127253167
2024-07-15,2024-07-21,122720.24436791791,20.33307006344427
2024-07-22,2024-07-28,116772.29435516437,19.347575901775222
2024-07-29,2024-08-04,119778.25392079423,19.84562238767198
2024-08-05,2024-08-11,117760.08242026501,19.51123890651396
2024-08-12,2024-08-18,127137.53654655113,21.064955106710485
2024-08-19,2024-08-25,126444.8894096271,20.95019292678769
2024-08-26,2024-09-01,132368.86771525312,21.931715303662187
2024-09-02,2024-09-08,135395.54997775657,22.433195257684794
2024-09-09,2024-09-15,127240.30971146589,21.081983217871905
2024-09-16,2024-09-22,130512.82389414983,21.624194166870986
2024-09-23,2024-09-29,135497.42182459214,22.45007403273832
2024-09-30,2024-10-06,127677.54468304523,21.154427086909987
2024-10-07,2024-10-13,133548.0199275293,22.12708473656355
2024-10-14,2024-10-20,137557.6301492038,22.791422442084965
2024-10-21,2024-10-27,113570.483712605,18.817079564676497
2024-10-28,2024-11-03,129338.87988740348,21.429687662563744
2024-11-04,2024-11-10,119990.55339605229,19.88079751405058
2024-11-11,2024-11-17,115579.88867818097,19.150010550605746
2024-11-18,2024-11-24,129395.54510158468,21.439076315398008
2024-11-25,2024-12-01,125211.46980275982,20.74583212704164
2024-12-02,2024-12-08,124040.69148071732,20.551850133496366
2024-12-09,2024-12-15,127886.40324724362,21.18903210127473
2024-12-16,2024-12-22,125597.95898209614,20.809868110694417
2024-12-23,2024-12-29,130406.628789576,21.606599086997928
2024-12-30,2025-01-05,132229.85595669714,21.90868295198362
2025-01-06,2025-01-12,106654.58340205079,17.671209245638437
2025-01-13,2025-01-19,125758.8162538894,20.836519965850286
2025-01-20,2025-01-26,122951.8060356396,20.371436672295516
2025-01-27,2025-02-02,,
2025-02-03,2025-02-09,120810.22830002704,20.016606461772355
2025-02-10,2025-02-16,,
2025-02-17,2025-02-23,107591.61173558225,17.826462055435712
2025-02-24,2025-02-28,117220.93484217227,19.421909509099873
